lon,lat,color,dash_gap,dash_time,label,rotate_to,stroke,dash_length
"36.12139930758071, -115.1696096860192",-115.1696096860192,#ffb623,1,1000,United States,false,0.4,1
"36.12139930758071, -115.1696096860192",-115.1696096860192,#fc0303,1,1000,N/A,true,0.4,1
